#;Start date;Start time;Completion date;Completion time;Duration;Status;How many years of professional experience do you have in software development or a technically related field?;Which role best describes your current position?;What type of organization do you work for?;What industry do you primarily work in?;Do you work in an environment with industry-specific compliance or regulatory requirements?;How strongly do regulatory requirements influence your willingness to use Agentic AI in software development?;How would you describe your experience with AI-assisted software development?;Which AI-powered development tools have you already tried? (multiple select) - GitHub Copilot;Which AI-powered development tools have you already tried? (multiple select) - Cursor;Which AI-powered development tools have you already tried? (multiple select) - OpenAI Codex;Which AI-powered development tools have you already tried? (multiple select) - Claude Code;Which AI-powered development tools have you already tried? (multiple select) - Windsurf;Which AI-powered development tools have you already tried? (multiple select) - Google Gemini CLI / Antigravity;Which AI-powered development tools have you already tried? (multiple select) - Devin;Which AI-powered development tools have you already tried? (multiple select) - Lovable;Which AI-powered development tools have you already tried? (multiple select) - Amazon Q Developer;How would you rate your ability to assess the potential of AI tools across SDLC phases?;Content block;Phase 1: Requirements Analysis & Planning;Phase 2: System Design / Architecture;Phase 3: Coding  / Implementation);Phase 4: Testing & Quality Assurance;Phase 5: Deployment & Integration;Phase 6: Maintenance & Operations;What do you see as the biggest challenges when using Agentic AI in software development?;How would you describe your typical interaction with AI development tools?;How often do you need to correct or rework AI-generated results?;What strategies do you use to ensure the quality of AI-generated code? - Manual code reviews;What strategies do you use to ensure the quality of AI-generated code? - Automated tests (unit, integration, E2E);What strategies do you use to ensure the quality of AI-generated code? - Static code analysis / linting;What strategies do you use to ensure the quality of AI-generated code? - Optimizing prompts through iteration and examples;What strategies do you use to ensure the quality of AI-generated code? - Providing architecture specs / context files to the AI;What strategies do you use to ensure the quality of AI-generated code? - Pair-programming mode with AI;What strategies do you use to ensure the quality of AI-generated code? - Cross-checking results with a second AI tool;To what extent do you agree with the following statement: "Agentic AI will fundamentally change how software is developed within the next 3 years.";Thinking about your own work: How has the use of AI tools changed your productivity?
"1";"02/13/2026";"10:26 AM";"02/13/2026";"10:38 AM";"8m 22s";"Completed";"2–5 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"Banking / Insurance";"Yes";"2";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"0";"0";"0";"1";"1";"0";"0";"0";"0";"I have hands-on experience and can assess from practice";"—";"4";"2";"4";"4";"1";"1";"Context limitations (codebase awareness, memory issues), Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"Frequently (60–80%)";"1";"1";"1";"0";"0";"0";"0";"7";"8"
"2";"02/13/2026";"09:35 AM";"02/13/2026";"09:54 AM";"12m 1s";"Completed";"> 10 years";"Product Manager / Product Owner";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"3";"I have tried AI tools but don’t use them regularly";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"3";"3";"4";"4";"4";"3";"Security risks (insecure code, vulnerable dependencies), Context limitations (codebase awareness, memory issues), Code quality & correctness (logic errors, hallucinations), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues)";"Delegative – I describe a goal and let the AI work largely autonomously";"About half the time (30–60%)";"1";"1";"0";"0";"0";"1";"0";"7";"6"
"3";"02/13/2026";"08:53 AM";"02/13/2026";"08:57 AM";"3m 52s";"Completed";"2–5 years";"Data Engineer / Scientist / ML Engineer";"Large enterprise (> 250 employees)";"Banking / Insurance";"Yes";"2";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"4";"3";"3";"4";"3";"3";"Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Security risks (insecure code, vulnerable dependencies), Traceability & compliance (code authorship, license issues), Integration into workflows (CI/CD, code review friction)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"About half the time (30–60%)";"1";"0";"0";"1";"1";"0";"0";"7";"7"
"4";"02/13/2026";"04:24 AM";"02/13/2026";"04:30 AM";"5m 36s";"Completed";"> 10 years";"Data Engineer / Scientist / ML Engineer";"Large enterprise (> 250 employees)";"Communications, Media & Technology";"Yes";"3";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"1";"1";"1";"0";"1";"0";"0";"0";"I have hands-on experience and can assess from practice";"—";"5";"5";"5";"5";"3";"3";"Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Security risks (insecure code, vulnerable dependencies), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"About half the time (30–60%)";"1";"1";"1";"1";"0";"0";"0";"8";"8"
"5";"02/13/2026";"01:31 AM";"—";"—";"—";"Incomplete";"< 2 years";"__other__";"Large enterprise (> 250 employees)";"Health / Public Service";"Yes";"1";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
"6";"02/12/2026";"09:13 PM";"02/12/2026";"09:17 PM";"3m 39s";"Completed";"2–5 years";"Business Analyst / Requirements Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Yes";"3";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"1";"0";"1";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"2";"4";"4";"3";"2";"4";"Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Security risks (insecure code, vulnerable dependencies), Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Frequently (60–80%)";"1";"1";"0";"1";"1";"0";"1";"7";"6"
"7";"02/12/2026";"06:56 PM";"02/12/2026";"07:20 PM";"23m 5s";"Completed";"2–5 years";"Business Analyst / Requirements Engineer";"Large enterprise (> 250 employees)";"Aerospace & Defense";"Yes";"4";"I use AI tools for technical tasks, but not primarily for coding (e.g., architecture, reviews, documentation)";"1";"0";"0";"0";"0";"0";"0";"0";"0";"I have hands-on experience and can assess from practice";"—";"4";"4";"4";"5";"3";"4";"Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Integration into workflows (CI/CD, code review friction)";"Iterative – I work in back-and-forth loops with AI on a feature or problem";"About half the time (30–60%)";"0";"0";"0";"0";"0";"0";"1";"8";"8"
"8";"02/12/2026";"05:50 PM";"02/12/2026";"05:53 PM";"3m 28s";"Completed";"> 10 years";"Software Developer / Engineer";"Large enterprise (> 250 employees)";"Products (Automotive, Consumer Goods, Retail, Travel)";"Not sure";"—";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"0";"0";"1";"0";"0";"0";"0";"0";"I have limited knowledge and my answers are rough estimates";"—";"2";"2";"2";"2";"2";"2";"Security risks (insecure code, vulnerable dependencies), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues), Traceability & compliance (code authorship, license issues), Integration into workflows (CI/CD, code review friction)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Almost always (> 80%)";"1";"0";"0";"1";"0";"0";"0";"10";"5"
"9";"02/12/2026";"05:43 PM";"—";"—";"—";"Incomplete";"2–5 years";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"0";"0";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"—";"0";"0";"0";"0";"0";"0";"0";"—";"—"
"10";"02/12/2026";"04:38 PM";"02/12/2026";"04:43 PM";"4m 50s";"Completed";"6–10 years";"__other__";"Large enterprise (> 250 employees)";"__other__";"Yes";"3";"I actively use AI tools for coding (Copilot, Cursor, Claude Code, etc.)";"1";"0";"1";"1";"0";"1";"0";"0";"0";"I have theoretical knowledge and can give an informed estimate";"—";"5";"5";"3";"4";"5";"3";"Integration into workflows (CI/CD, code review friction), Traceability & compliance (code authorship, license issues), Security risks (insecure code, vulnerable dependencies), Code quality & correctness (logic errors, hallucinations), Context limitations (codebase awareness, memory issues)";"Ad-hoc – I use AI for individual, isolated tasks (e.g., generate a function, explain an error)";"Frequently (60–80%)";"0";"1";"1";"0";"1";"0";"1";"10";"6"
